Designator,Mid X,Mid Y,Rotation,Layer
D1,33.81375,-10.715625,180.0,top
D10,190.95625,-19.845625,270.0,top
D11,205.24375,-16.27375,270.0,top
D12,224.29375,-16.511875,270.0,top
D13,243.34375,-16.511875,270.0,top
D14,257.63125,-14.130625,270.0,top
D15,26.19375,-14.049375,270.0,top
D16,42.128125,-11.749375,270.0,top
D17,61.178125,-11.749375,270.0,top
D18,75.465625,-9.368125,270.0,top
D19,94.515625,-20.08375,270.0,top
D2,37.365625,-9.368125,270.0,top
D20,108.803125,-16.511875,270.0,top
D21,127.853125,-16.511875,270.0,top
D22,142.140625,-14.130625,270.0,top
D23,176.66875,-11.749375,270.0,top
D24,190.95625,-9.13,270.0,top
D25,210.00625,-19.845625,270.0,top
D26,229.05625,-20.08375,270.0,top
D27,248.10625,-20.08375,270.0,top
D28,262.39375,-16.511875,270.0,top
D29,29.765625,-15.559375,270.0,top
D3,56.415625,-9.368125,270.0,top
D30,46.890625,-14.130625,270.0,top
D31,65.940625,-14.130625,270.0,top
D32,80.228125,-11.749375,270.0,top
D33,94.515625,-9.368125,270.0,top
D34,113.565625,-20.08375,270.0,top
D35,132.615625,-20.08375,270.0,top
D36,146.903125,-16.511875,270.0,top
D37,181.43125,-13.8925,270.0,top
D38,195.71875,-11.51125,270.0,top
D39,210.00625,-9.368125,270.0,top
D4,75.465625,-20.08375,270.0,top
D40,229.05625,-9.368125,270.0,top
D41,248.10625,-9.368125,270.0,top
D42,32.603125,-17.940625,270.0,top
D43,51.653125,-16.511875,270.0,top
D44,70.703125,-16.511875,270.0,top
D45,84.990625,-14.36875,270.0,top
D46,99.278125,-11.9875,270.0,top
D47,113.565625,-9.368125,270.0,top
D48,132.615625,-9.368125,270.0,top
D49,171.90625,-20.08375,270.0,top
D5,89.753125,-16.511875,270.0,top
D50,186.19375,-16.27375,270.0,top
D51,200.48125,-14.130625,270.0,top
D52,214.76875,-11.749375,270.0,top
D53,233.81875,-11.749375,270.0,top
D54,252.86875,-11.749375,270.0,top
D55,37.365625,-20.08375,270.0,top
D56,56.415625,-20.08375,270.0,top
D57,118.328125,-11.749375,270.0,top
D58,219.53125,-14.130625,270.0,top
D59,238.58125,-14.130625,270.0,top
D6,104.040625,-14.130625,270.0,top
D60,74.275,-48.896875,0.0,bottom
D61,93.325,-48.896875,0.0,bottom
D62,112.375,-48.896875,0.0,bottom
D63,131.425,-48.896875,0.0,bottom
D64,150.475,-48.896875,0.0,bottom
D65,169.525,-48.896875,0.0,bottom
D66,188.575,-48.896875,0.0,bottom
D67,207.625,-48.896875,0.0,bottom
D68,226.675,-48.896875,0.0,bottom
D69,245.725,-48.896875,0.0,bottom
D7,123.090625,-14.36875,270.0,top
D8,137.378125,-11.749375,270.0,top
D9,171.90625,-9.13,270.0,top
S1,26.65,-39.371875,0.0,top
S10,198.1,-39.371875,0.0,top
S11,217.15,-39.371875,0.0,top
S12,236.2,-39.371875,0.0,top
S13,255.25,-39.371875,0.0,top
S14,283.825,-39.371875,0.0,top
S15,31.4125,-58.421875,0.0,top
S16,55.225,-58.421875,0.0,top
S17,74.275,-58.421875,0.0,top
S18,93.325,-58.421875,0.0,top
S19,112.375,-58.421875,0.0,top
S2,45.7,-39.371875,0.0,top
S20,131.425,-58.421875,0.0,top
S21,150.475,-58.421875,0.0,top
S22,169.525,-58.421875,0.0,top
S23,188.575,-58.421875,0.0,top
S24,207.625,-58.421875,0.0,top
S25,226.675,-58.421875,0.0,top
S26,245.725,-58.421875,0.0,top
S27,264.775,-58.421875,0.0,top
S28,288.5875,-58.421875,0.0,top
S29,33.79375,-77.471875,0.0,top
S3,64.75,-39.371875,0.0,top
S30,59.9875,-77.471875,0.0,top
S31,79.0375,-77.471875,0.0,top
S32,98.0875,-77.471875,0.0,top
S33,117.1375,-77.471875,0.0,top
S34,136.1875,-77.471875,0.0,top
S35,155.2375,-77.471875,0.0,top
S36,174.2875,-77.471875,0.0,top
S37,193.3375,-77.471875,0.0,top
S38,212.3875,-77.471875,0.0,top
S39,231.4375,-77.471875,0.0,top
S4,83.8,-39.371875,0.0,top
S40,250.4875,-77.471875,0.0,top
S41,281.44375,-77.471875,0.0,top
S42,38.55625,-96.521875,0.0,top
S43,69.5125,-96.521875,0.0,top
S44,88.5625,-96.521875,0.0,top
S45,107.6125,-96.521875,0.0,top
S46,126.6625,-96.521875,0.0,top
S47,145.7125,-96.521875,0.0,top
S48,164.7625,-96.521875,0.0,top
S49,183.8125,-96.521875,0.0,top
S5,102.85,-39.371875,0.0,top
S50,202.8625,-96.521875,0.0,top
S51,221.9125,-96.521875,0.0,top
S52,240.9625,-96.521875,0.0,top
S53,267.15625,-96.521875,0.0,top
S54,293.35,-96.521875,0.0,top
S55,55.225,-115.571875,0.0,top
S56,79.0375,-115.571875,0.0,top
S57,160.0,-115.571875,0.0,top
S58,240.9625,-115.571875,0.0,top
S59,264.775,-115.571875,0.0,top
S6,121.9,-39.371875,0.0,top
S7,140.95,-39.371875,0.0,top
S8,160.0,-39.371875,0.0,top
S9,179.05,-39.371875,0.0,top
